,id,full_text,word_len,favorite_count,retweet_count,date,created_at,detected_language,language_confidence
196,1.3076138540971254e+18,cephalofoil,11,15,2,2020-09-20,2020-09-20 09:33:31,kn,0.75
197,1.307613839882625e+18,cephalophoil,12,15,3,2020-09-20,2020-09-20 09:33:28,kn,1.0
198,1.3076138319302738e+18,cephalofoils,12,12,2,2020-09-20,2020-09-20 09:33:26,de,1.0
199,1.3075836645999903e+18,civiccomplaint,14,21,1,2020-09-20,2020-09-20 07:33:34,ru,1.0
200,1.3072514599735788e+18,cyclooctasulfur,15,17,2,2020-09-19,2020-09-19 09:33:30,ru,0.856621
201,1.3072212340700283e+18,upfakes,7,43,3,2020-09-19,2020-09-19 07:33:23,pt,0.7932478
202,1.3072212126287503e+18,d’mai,5,7,0,2020-09-19,2020-09-19 07:33:18,pt,1.0
203,1.3071986514045624e+18,fraughts,8,22,2,2020-09-19,2020-09-19 06:03:39,en,1.0
204,1.3070853392579543e+18,escondelero,11,14,3,2020-09-18,2020-09-18 22:33:24,it,0.32864603
205,1.3070853314523013e+18,jocotes,7,6,3,2020-09-18,2020-09-18 22:33:22,nl,0.84404767
206,1.3070400731086643e+18,tremella,8,5,0,2020-09-18,2020-09-18 19:33:31,en,0.87304574
207,1.3070325260164383e+18,bibliofriends,13,157,37,2020-09-18,2020-09-18 19:03:32,ro,0.32582426
208,1.3070098170940867e+18,approachare,11,9,1,2020-09-18,2020-09-18 17:33:18,en,0.6088824
209,1.3069493904776888e+18,d’arredamento,13,20,2,2020-09-18,2020-09-18 13:33:11,ca,0.6806015
210,1.30688905778867e+18,zeders,6,17,3,2020-09-18,2020-09-18 09:33:26,en,0.18928668
211,1.3067606674714583e+18,sysloop,7,19,3,2020-09-18,2020-09-18 01:03:16,en,1.0
212,1.306662518350377e+18,rubbertramps,12,16,5,2020-09-17,2020-09-17 18:33:15,en,0.96825236
213,1.3066096583255409e+18,expectunprecedented,19,101,24,2020-09-17,2020-09-17 15:03:12,en,1.0
214,1.3065417432366694e+18,insuretech,10,13,3,2020-09-17,2020-09-17 10:33:20,en,0.9893038
215,1.3063379187353313e+18,positiviy,9,160,18,2020-09-16,2020-09-16 21:03:25,en,0.54943496
216,1.3063001942424166e+18,gympietides,11,23,1,2020-09-16,2020-09-16 18:33:30,en,0.9405455
217,1.3062624098379366e+18,smoothified,11,101,18,2020-09-16,2020-09-16 16:03:22,en,0.18267746
218,1.3062397601350083e+18,chasedown,9,18,5,2020-09-16,2020-09-16 14:33:22,bg,0.61157554
219,1.3061793697700618e+18,boliviensis,11,8,2,2020-09-16,2020-09-16 10:33:24,sk,1.0
220,1.3060208502278717e+18,banksianus,10,25,2,2020-09-16,2020-09-16 00:03:30,en,0.96125436
221,1.305930235490308e+18,snacevery,9,17,0,2020-09-15,2020-09-15 18:03:25,de,1.0
222,1.3058849667656294e+18,trompos,7,52,14,2020-09-15,2020-09-15 15:03:32,en,0.62944704
223,1.3058698976632177e+18,palliasses,10,10,1,2020-09-15,2020-09-15 14:03:40,en,0.32821894
224,1.3058245465960243e+18,ecopessimism,12,231,59,2020-09-15,2020-09-15 11:03:27,en,0.4967043
225,1.3058019590904013e+18,sacroiliitis,12,6,1,2020-09-15,2020-09-15 09:33:42,hi,0.18793964
226,1.305801919219327e+18,tripoding,9,24,0,2020-09-15,2020-09-15 09:33:32,en,0.6276555
227,1.30561313468262e+18,smized,6,272,36,2020-09-14,2020-09-14 21:03:23,en,1.0
228,1.3055452620651643e+18,unfearsome,10,20,7,2020-09-14,2020-09-14 16:33:40,en,1.0
229,1.3055150356792402e+18,bitou,5,17,3,2020-09-14,2020-09-14 14:33:34,da,0.8830743
230,1.3054851239960003e+18,unwaiting,9,51,18,2020-09-14,2020-09-14 12:34:42,en,1.0
231,1.3054850913937285e+18,howeverfold,11,24,7,2020-09-14,2020-09-14 12:34:35,hi,1.0
232,1.3054848577331896e+18,amatively,9,5,0,2020-09-14,2020-09-14 12:33:39,en,1.0
233,1.305484830663045e+18,underlapp’d,11,8,1,2020-09-14,2020-09-14 12:33:33,enfy,0.5089174
234,1.3054848167842652e+18,camerados,9,12,2,2020-09-14,2020-09-14 12:33:29,en,0.64451104
235,1.3052885673888645e+18,federalwide,11,18,2,2020-09-13,2020-09-13 23:33:40,pt,0.43570417
236,1.3050167142587965e+18,downdepictions,14,14,1,2020-09-13,2020-09-13 05:33:25,en,1.0
237,1.3050016317344727e+18,makareru,8,22,2,2020-09-13,2020-09-13 04:33:29,sv,0.65326273
238,1.3047071087939133e+18,streggae,8,33,5,2020-09-12,2020-09-12 09:03:09,en,1.0
239,1.3045486113012818e+18,narcisisstic,12,194,22,2020-09-11,2020-09-11 22:33:20,en,1.0
240,1.3045335040767877e+18,diplobrat,9,159,17,2020-09-11,2020-09-11 21:33:19,en,0.55602366
241,1.3044957582348657e+18,ultraprosperity,15,37,14,2020-09-11,2020-09-11 19:03:19,en,0.7410772
242,1.304495749477081e+18,ultraindividualism,18,81,22,2020-09-11,2020-09-11 19:03:17,en,0.53416646
243,1.3044730757533327e+18,semiquincentennial,18,97,10,2020-09-11,2020-09-11 17:33:11,en,0.76412
244,1.3043827634711716e+18,postcoronavirus,15,712,137,2020-09-11,2020-09-11 11:34:19,en,1.0
245,1.3043827435146895e+18,protocomets,11,10,2,2020-09-11,2020-09-11 11:34:14,en,1.0
246,1.3043826146446254e+18,supersharers,12,28,7,2020-09-11,2020-09-11 11:33:44,en,0.89615875
247,1.304382588778414e+18,skybeams,8,20,3,2020-09-11,2020-09-11 11:33:38,en,0.4468653
248,1.3041257848194703e+18,hypocular,9,3,2,2020-09-10,2020-09-10 18:33:11,es,0.64166737
249,1.3040804565273395e+18,geolocations,12,33,6,2020-09-10,2020-09-10 15:33:04,en,1.0
250,1.3040653653209047e+18,muiracatiara,12,13,4,2020-09-10,2020-09-10 14:33:06,en,1.0
251,1.3040351688612577e+18,kriegt,6,19,3,2020-09-10,2020-09-10 12:33:06,ja,0.9741972
252,1.3039596635417108e+18,raspas,6,85,21,2020-09-10,2020-09-10 07:33:04,ja,1.0
253,1.3038162723507692e+18,koncotion,9,21,2,2020-09-09,2020-09-09 22:03:17,en,0.26604116
254,1.303816265073668e+18,kreated,7,20,5,2020-09-09,2020-09-09 22:03:15,sl,0.9492918
255,1.3038162574903542e+18,karefully,9,77,10,2020-09-09,2020-09-09 22:03:14,en,1.0
256,1.303657732566909e+18,recasted,8,11,0,2020-09-09,2020-09-09 11:33:18,en,1.0
