,id,full_text,favorite_count,retweet_count,created_at
227,1305613134682619905,smized,272,36,2020-09-14 21:03:23
228,1305545262065164288,unfearsome,20,7,2020-09-14 16:33:40
229,1305515035679240192,bitou,17,3,2020-09-14 14:33:34
230,1305485123996000264,unwaiting,51,18,2020-09-14 12:34:42
231,1305485091393728513,howeverfold,24,7,2020-09-14 12:34:35
232,1305484857733189632,amatively,5,0,2020-09-14 12:33:39
233,1305484830663045123,underlapp’d,8,1,2020-09-14 12:33:33
234,1305484816784265216,camerados,12,2,2020-09-14 12:33:29
235,1305288567388864512,federalwide,18,2,2020-09-13 23:33:40
236,1305016714258796544,downdepictions,14,1,2020-09-13 05:33:25
237,1305001631734472704,makareru,22,2,2020-09-13 04:33:29
238,1304707108793913344,streggae,33,5,2020-09-12 09:03:09
239,1304548611301281793,narcisisstic,194,22,2020-09-11 22:33:20
240,1304533504076787714,diplobrat,159,17,2020-09-11 21:33:19
241,1304495758234865664,ultraprosperity,37,14,2020-09-11 19:03:19
242,1304495749477081088,ultraindividualism,81,22,2020-09-11 19:03:17
243,1304473075753332736,semiquincentennial,97,10,2020-09-11 17:33:11
244,1304382763471171589,postcoronavirus,712,137,2020-09-11 11:34:19
245,1304382743514689536,protocomets,10,2,2020-09-11 11:34:14
246,1304382614644625408,supersharers,28,7,2020-09-11 11:33:44
247,1304382588778414084,skybeams,20,3,2020-09-11 11:33:38
248,1304125784819470338,hypocular,3,2,2020-09-10 18:33:11
249,1304080456527339521,geolocations,33,6,2020-09-10 15:33:04
250,1304065365320904704,muiracatiara,13,4,2020-09-10 14:33:06
251,1304035168861257732,kriegt,19,3,2020-09-10 12:33:06
252,1303959663541710848,raspas,85,21,2020-09-10 07:33:04
253,1303816272350769152,koncotion,21,2,2020-09-09 22:03:17
254,1303816265073668099,kreated,20,5,2020-09-09 22:03:15
255,1303816257490354178,karefully,77,10,2020-09-09 22:03:14
256,1303657732566908929,recasted,11,0,2020-09-09 11:33:18
257,1303627728785149952,jaykei,15,3,2020-09-09 09:34:05
258,1303627720283369472,espinology,5,1,2020-09-09 09:34:03
259,1303484131519717381,metaltail,21,3,2020-09-09 00:03:29
260,1303484123470794752,violetear,39,6,2020-09-09 00:03:27
261,1303431280273612803,postconceptualism,115,29,2020-09-08 20:33:28
262,1303340651493437440,manybrands,19,2,2020-09-08 14:33:20
263,1303265548533460993,chonete,16,5,2020-09-08 09:34:54
264,1303265540568485889,costaricensis,3,0,2020-09-08 09:34:53
265,1303265231410470912,doomsdayer,26,8,2020-09-08 09:33:39
266,1303265188385353729,flexcations,11,3,2020-09-08 09:33:29
267,1303265180185440256,workcations,65,14,2020-09-08 09:33:27
268,1303265147109208064,coronaphobia,186,45,2020-09-08 09:33:19
269,1303257605909905409,pandepic,297,48,2020-09-08 09:03:21
270,1303257597798121475,humanizingly,18,4,2020-09-08 09:03:19
271,1303227412826779649,superbackers,12,3,2020-09-08 07:03:22
272,1302872602520813569,medjoul,52,2,2020-09-07 07:33:29
273,1302797153656594432,carapachi,17,4,2020-09-07 02:33:40
274,1302329002917605383,slondok,15,5,2020-09-05 19:33:25
275,1302283703025111040,nonwindy,37,2,2020-09-05 16:33:24
276,1302283695441747968,sunpaper,21,5,2020-09-05 16:33:22
277,1302276165546237953,antivax,278,27,2020-09-05 16:03:27
278,1301989212007342082,unencased,25,3,2020-09-04 21:03:12
279,1301928855654084609,camptastic,58,14,2020-09-04 17:03:22
280,1301891080418406401,composta,35,1,2020-09-04 14:33:16
281,1301883512006508545,recontribute,14,3,2020-09-04 14:03:11
282,1301823167443415040,congressively,24,3,2020-09-04 10:03:24
283,1301702324298166276,supersolvers,38,7,2020-09-04 02:03:13
284,1301657017933848576,allowingresidents,35,7,2020-09-03 23:03:11
285,1301657007410249730,manufacturingwould,32,2,2020-09-03 23:03:08
286,1301566465603186694,griskin,9,1,2020-09-03 17:03:21
287,1301566457717886976,histoplasmotic,13,1,2020-09-03 17:03:20
288,1301453373452017665,foilboarding,21,2,2020-09-03 09:33:58
289,1301272077891141633,taurursodiol,10,0,2020-09-02 21:33:34
290,1301264450977255425,unsportsmanlikes,42,8,2020-09-02 21:03:16
291,1301241847696760839,drotrecogin,10,0,2020-09-02 19:33:27
292,1301105912803983361,overpot,8,1,2020-09-02 10:33:17
293,1301105880130359296,peperomioides,13,3,2020-09-02 10:33:09
294,1301090978191806465,solemniser,8,1,2020-09-02 09:33:56
295,1301090939293794304,shmegular,199,36,2020-09-02 09:33:47
296,1300902083844071426,rapeyness,132,12,2020-09-01 21:03:21
297,1300819863259287552,interfighting,19,4,2020-09-01 15:36:38
298,1300774632555974656,asaa,17,4,2020-09-01 12:36:54
299,1300729569130033153,mwenkanonkano,24,9,2020-09-01 09:37:50
300,1300616119129178114,minislash,18,4,2020-09-01 02:07:01
301,1300593503689494529,cisheteropatriarchalism,627,105,2020-09-01 00:37:09
302,1300593495439278083,cisheteropatriarchal,583,101,2020-09-01 00:37:07
303,1300480195573559305,whiterly,28,6,2020-08-31 17:06:55
304,1300449960115286018,micropassing,61,16,2020-08-31 15:06:46
305,1300125383182954497,gettingresults,41,9,2020-08-30 17:37:01
306,1300125374655979520,vaccing,17,4,2020-08-30 17:36:59
307,1300004632702472192,hypopigmented,35,6,2020-08-30 09:37:12
308,1299747856916639745,timesaved,28,7,2020-08-29 16:36:51
309,1299642125022265345,waackers,36,3,2020-08-29 09:36:43
310,1299483690414886912,powersview,19,1,2020-08-28 23:07:09
311,1299438345752375296,lullabyish,29,7,2020-08-28 20:06:58
312,1299438336294227968,ppcocaine,888,150,2020-08-28 20:06:56
313,1299408178900328453,rachadinha,13172,2805,2020-08-28 18:07:06
314,1299393187753193478,troscad,5,0,2020-08-28 17:07:32
315,1299354423169372161,joyhouse,31,6,2020-08-28 14:33:29
316,1299354391145832449,telepsychaitry,24,6,2020-08-28 14:33:22
317,1299286634098290688,vesiculation,8,2,2020-08-28 10:04:07
318,1299286620479381504,conjunctivital,8,4,2020-08-28 10:04:04
319,1299286561624862721,santart,7,0,2020-08-28 10:03:50
320,1299286496642506757,neurorights,34,11,2020-08-28 10:03:35
321,1299286488493035522,neurograin,6,1,2020-08-28 10:03:33
322,1299286480641232897,neurograins,13,2,2020-08-28 10:03:31
323,1299278942889742337,waldkindergartens,48,9,2020-08-28 09:33:34
324,1299278913512841216,catdust,71,12,2020-08-28 09:33:27
325,1299105262645776389,nonparallels,37,5,2020-08-27 22:03:25
326,1299007102183264257,borrachero,376,81,2020-08-27 15:33:22
327,1298999577756995584,paleomammalogy,57,6,2020-08-27 15:03:28
328,1298924047192018944,wiolent,182,21,2020-08-27 10:03:20
329,1298803261202411520,kachazzen,12,0,2020-08-27 02:03:22
330,1298803253606600704,ceahhetan,9,1,2020-08-27 02:03:20
331,1298803245842915335,cachinnare,10,1,2020-08-27 02:03:19
332,1298667372618842113,woketopian,175,37,2020-08-26 17:03:24
333,1298629635220144129,macrorhini,30,3,2020-08-26 14:33:27
334,1298569235841585152,cylindricus,15,3,2020-08-26 10:33:26
335,1298569221815902209,clavatum,11,3,2020-08-26 10:33:23
336,1298561711994286081,counterprotested,25,6,2020-08-26 10:03:32
337,1298554265577967617,cyberstings,12,2,2020-08-26 09:33:57
338,1298554244577067008,lvling,21,4,2020-08-26 09:33:52
339,1298403150483816454,cybersteal,63,8,2020-08-25 23:33:28
340,1298372917273735168,influenzain,29,1,2020-08-25 21:33:20
341,1298342747594776590,mouthily,40,1,2020-08-25 19:33:27
342,1298342738950316032,howlingbanderlootinggrifter,110,30,2020-08-25 19:33:25
343,1298342730976972806,dirtyallover,35,12,2020-08-25 19:33:23
344,1298342723020378113,bentouttashape,36,4,2020-08-25 19:33:21
345,1298342685179351040,burofax,15496,3723,2020-08-25 19:33:12
346,1298320089348022275,bapbuns,25,3,2020-08-25 18:03:25
347,1298320081500418048,baprolls,16,2,2020-08-25 18:03:23
348,1298259746135318531,midpandemic,333,50,2020-08-25 14:03:38
349,1298252121377308672,pseudoachondroplasia,46,8,2020-08-25 13:33:20
350,1298199403178663936,protomasculine,39,9,2020-08-25 10:03:51
351,1298199282378592256,narcomoney,53,23,2020-08-25 10:03:22
352,1298191806732144640,censorish,22,5,2020-08-25 09:33:40
353,1298161517645438976,exovorus,11,2,2020-08-25 07:33:19
354,1298161502898262019,coralliilyticus,11,1,2020-08-25 07:33:15
355,1298116286258524160,woketopians,254,64,2020-08-25 04:33:35
357,1297904948739543041,reggaetones,288,42,2020-08-24 14:33:48
358,1297829471513346048,chabocos,13,4,2020-08-24 09:33:53
359,1297436881194557440,sopheapm,13,0,2020-08-23 07:33:52
360,1297104766867329024,bluering,8,1,2020-08-22 09:34:10
361,1297104728774541313,multifasciata,38,2,2020-08-22 09:34:01
362,1297104720616656896,multibarred,7,0,2020-08-22 09:33:59
363,1296900937865469957,funiculae,23,4,2020-08-21 20:04:13
364,1296900905779040261,necrophoric,20,9,2020-08-21 20:04:05
365,1296900892537561088,inoperosità,5,1,2020-08-21 20:04:02
366,1296900877576544261,negazionista,18,9,2020-08-21 20:03:59
367,1296893300427886595,overchewed,37,5,2020-08-21 19:33:52
